unique_scaffold_recall,count_of_occurrence,unique_indicator
C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,20,1
C1CCC(C2CCC(C3CCCCC3C3CCCCC3)CC2)CC1,24,1
C1CCC(C2CCC(C3CCCCC3)CC2)CC1,77,1
C1CCC(C2CCC(C3CCCCC3C3CCCC3)C3CCCC23)CC1,11,1
C1CCC(C2CCC(C3CCCCC3C3CCCCC3)C3CCCCC23)CC1,1,1
C1CCC2CCC2C1,3,1
C1CCC(C2CCC(C3CCCCC3C3CCCC3)C3CCCCC23)CC1,0,0
C1CCC(C2CCC(C3CCCCC3)C3CCCCC23)CC1,16,1
C1CCC(C2CCC3CCC3C2)CC1,0,0
C1CCC(C2CCC(C3CCCCC3C3CCCC3)CC2)CC1,28,1
C1CCC(C2CCC3CCCCC3C2)CC1,14,1
C1CCC(C2CCC(C3CCCCC3CC3CCC4CCCC4C3)C3CCCC23)CC1,3,1
C1CCC2CCCCC2C1,27,1
C1CCC(C2CCC(C3CCCCC3C3CCCCC3)C3CCCC23)CC1,7,1
C1CCC(C2CC3CCCCC3C2)CC1,9,1
C1CCC(C2CCCC(C3CCCC3C3CCCCC3)C2)CC1,3,1
C1CCC(C2CCC(C3CCCCC3CCC3C4CC3C4)C3CCCC23)CC1,0,0
C1CCC2CC(C3CCCCC3C3CCCC3)CCC2C1,0,0
C1CCC2CCCC2C1,24,1
C1CCC(C2CCCCC2C2CCC3CCCCC3C2)CC1,0,0
C1CCC(C2CCC(CC3CCCCC3C3CCC(C4CCCCC4)C4CCCC43)C2)CC1,0,0
C1CCCCCCCCCCCC(C2CCCC2)CCCCCCCCCCC1,0,0
C1CCC(C2CCC(C3CCCCC3C3CCC4CCCCC4C3)CC2)CC1,0,0
C1CCC(C2CCCCC2C2CCC3C(CCCC3C3CCC3)C2)CC1,0,0
C1CCC(C2CCC(C3CCCCC3C3CCC4CCCCC4C3)CC2)C1,0,0
C1CCC(C2CCCCC2C2CCC3C(CCCC3C3CC3)C2)CC1,0,0
C1CCC(C2CCC3CCC3C2)C1,1,1
C1CCC(C2CC(CCC3CCC4CCCC4C3)C(C3CCCCC3)C3CCCC23)CC1,5,1
C1CCC(C2CCC(C3CCCCC3CC3CCC4CCCCC4C3)C3CCCC23)CC1,0,0
C1CCC(C2CCC(C3CCCCC3CC3CC4CCC3C4)C3CCCC23)CC1,0,0
C1CCC(C2CCC(C3CCCCC3C3CCC4CCCC4C3)C3CCCC23)CC1,2,1
C1CCC(C2CC(CCC3CCC4CCCCC4C3)C(C3CCCCC3)C3CCCC23)CC1,1,1
C1CC2CCC2C1,1,1
C1CCC(C2CCC(C3CCCCC3C3CCC4C(CCCC4C4CCC4)C3)CC2)CC1,0,0
C1CCC2CC(C3CCCC4CCCCC43)CCC2C1,0,0
C1CCC(C2CC(C3CCC4CCCCC43)CC3CCCCC32)CC1,0,0
C1CCC(C2CCC(C3CCCCC3)C3C4CCCCC4CC23)CC1,0,0
C1CCC2CC(C3CCCCC3C3CCC(CC4CC4)CC3)CCC2C1,0,0
C1CCC(C2CCC(C3CCCCC3C3CCC4C(CCCC4C4CC4)C3)CC2)CC1,0,0
C1CCC(C2CCC(C3CCCCC3C3CCC4CCCC4C3)CC2)CC1,2,1
C1CCC(CCC2CCC(C3CCCCC3C3CCC4CCCCC4C3)CC2)CC1,0,0
C1CCC(C2CCC(C3CCCCC3CC3CC4CCCCC4C3)C3CCCC23)CC1,0,0
