unique_scaffold_recall,count_of_occurance,uniq_occurance
C1CCC2C(C1)CCC1C3CCCCC3CCC21,65,1
C1CCC(CCC2CCC3C(CCC4CCCCC43)C2)CC1,185,1
C1CCC(C2CCC(CCCC3CCC4C3CCC3C5CCCCC5CCC43)C2)CC1,0,0
C1CCC2C(C1)CCCC2CCCC1CCC2C1CCC1C3CCCCC3CCC21,16,1
C1CCC(CCCCC2CCC3C2CCC2C4CCCCC4CCC32)CC1,69,1
C1CCC(C2CC3CCCCC3C3CCC(CCC4CCCC4)CC23)CC1,1,1
C1CCC(CC2CCC(C3CC4CCCCC4C4CCCCC34)CC2)CC1,7,1
C1CCC(CCCC2(CCC3CCCC3)CCC3C4CCC5CCCCC5C4CCC32)C1,0,0
C1CCC(CC2CCCC(CCC3CCC(CCC4CCC(C5CC5)CC4)CC3)C2)C1,92,1
C(CCC1(C2CCCC2)CCCC2CCCCC21)CC1CCC2CCCCC2C1,342,1
C(CCCC1CCCC1)CCCC1CCC(CC2CCC(CC(CC3CCCCC3)C3CCCCC3)CC2)CC1,0,0
C(CCC1(C2CC2)CCCC2CCCCC21)CC1CCC2CCCCC2C1,106,1
C1CCC(CCCCC2CCCC(CC3CCC(CC(CC4CCCCC4)C4CCCCC4)CC3)C2)CC1,3,1
C1CCC(CCC(CC2CCC3C(CCC3C3CCCCC3)C2)C2CCCCC2)CC1,6,1
C1CCC(CCC2CCC3C(CCC3C3CCCC(CC4CCCC4)C3)C2)CC1,244,1
C1CCC2C(C1)CCCC2CC1CC2CCCCC2C2CCC3CCCCC3C12,0,0
C1CCC(CC2CCCC(C3CC4CCCCC4C4CCCCC34)C2)CC1,3,1
C1CCC(C2CCCC(CC3CC4CCCCC4C4CCC5CCCCC5C34)C2)C1,25,1
C1CCC(CCC2CC3CCCC3C3CCC4CCCCC4C23)CC1,113,1
C1CCC(CC2CCCC(CC3CC4CCCCC4C4CCC5CCCCC5C34)C2)CC1,22,1
C1CCC(CC2CC3CCCCC3C2C2CCCCC2)CC1,19,1
C1CCC(C2C3CCCC3CC3CC4CCCC4CC32)CC1,0,0
C1CCC(C2CC3C(CCC4CC4)CCC3C3CCC4CCCCC4C23)CC1,0,0
C1CCC(CCC2CCC3C(CCC3C3CCCC(C4CC4)C3)C2)CC1,22,1
C1CCC(C2CCC3C(CCC3C3CCCCC3)C2)CC1,291,1
C1CCC(CCC2CCC3C(CCC4CC(C5CCCCC5)CCC43)C2)CC1,10,1
C1CCC(C2CCC3CC4C(CCCC45CCCCC5)CC32)CC1,0,0
C1CCC(C2CCC3CC(C4CCC(CCC5CCCC5)CC4)CCC32)CC1,43,1
C1CCC(C2CCC3CC4C(CCC5C6CCCC6CCC45)CC32)CC1,0,0
C(CC1CCC2CCCC2C1)CC1CCC2CCC(C3CCCC4CCCC43)CC2C1,0,0
C1CCC(CCC2CCC3C(CCC3C3CCCC3)C2)CC1,440,1
C1CCC(CCCCCC2CCC3CCCC3C2)CC1,2544,1
C1CCC2C(C1)CCCC2CCCC1CCCC2CCCCC21,68,1
C1CCC(CCC2CCC(CCC3CCCCC3)CC2)CC1,469,1
C1CCC(CCCCC2CCC3CCCCC3C2)CC1,1513,1
C1CCC(CCCCCC2CCCCC2)CC1,4007,1
C1CCC(CCC(CC2CC3CCCCC3C2)C2CC2)CC1,104,1
C1CCC(CCCC2CCCC3CCC(C4CCCC5CCCC54)CC23)CC1,8,1
C1CCC(CCCCC2CCCC3CCC(C4CCCCC4)CC23)CC1,46,1
C1CCC(CCCCC2CCCC3CCCC23)CC1,703,1
