unique_scaffold_recall,count_of_occurrence,unique_indicator
C1CCC(C2CCCC(CCCC3CCC(CC4CCCC4)CC3)C2)CC1,1,1
C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,837,1
C1CCC(CCC2CC(C3CCCCC3)C3CCCC3C2C2CCCCC2)CC1,306,1
C1CCC(CCC2CCC3CCC3C2)CC1,55,1
C1CCC(CCCC2CC(C3CCCCC3)CC(C3CCCC3)C2)CC1,0,0
C1CCC(CCCC2C3CCC3CC2C2CCCCC2)CC1,0,0
C1CCC(CCCCC2CCCC2CCCCC2CC3CCCCC3C2)CC1,0,0
C1CCC(CCCC2CC(C3CCCCC3)CC(C3CCCCC3)C2)CC1,24,1
C1CCC(CCCC2CC3CC4CC(C4)C3C2)C1,0,0
C1CCC(CCC(CCC2CCCC2)C2CC3CC4CC(C4)C3C2)CC1,0,0
C1CCC(CCCC2CC(C3CCCCC3)CC(C3CCC3)C2)CC1,0,0
C1CCC(CCC2CCC3CCCCC3C2)CC1,1128,1
C1CCC(C2CCCC(CC3CC4CCCCC4C3)C2)CC1,11,1
C(CCC1CCCC1)CCC1CCCC1CCCCC1CC2CCCCC2C1,0,0
C1CCC(CCCCC2CC3CCCCC3C2)C1,26,1
C1CCC(C2CC(CCC3CC4CCCC4C3)C(C3CCCCC3)C3CCCC23)CC1,0,0
C1CCC(CCCC2CC(CC3CCCC3)CC(C3CCCCC3)C2)CC1,0,0
C1CCC(C2CC(CCCC3CCCC3)CC(C3CCC3)C2)CC1,0,0
C1CCC(C2CCCC(CCCC3CC4CCCC4C3)C2)CC1,2,1
C1CCC(CCC2CCC(CCC3CC4CCCCC4C3)C(C3CCCCC3)C2)CC1,0,0
C1CCC(CCCC2CC(C3CCCCC3)CC(C3CC3)C2)CC1,0,0
C1CCC(CCCC2CCCC2CCCCC2CC3CCCCC3C2)CC1,1,1
C1CCC(C2CCCC(CCCC3CC4CCCCC4C3)C2)CC1,7,1
C1CCC(C2CCCC(CCCC3CCC4CCCC4C3)C2)CC1,1,1
C1CCC(CCC2CC3CCCCC3C2)CC1,493,1
C1CCC(C2CCCC(CCCC3CCCC3)C2)CC1,115,1
C1CCC(C2CC(CCC3CC4CC4C3)C(C3CCCCC3)C3CCCC23)CC1,0,0
C1CCC(CCCCC2CC3CCCC3C2)CC1,26,1
C1CCC(CCCC2CC3CCCC3C2)CC1,79,1
C1CCC(CCCC2CC(CC3CC3)CC(C3CCCCC3)C2)CC1,0,0
C1CCC(C2CCCC(CCCC3CCC(CC4CC4)CC3)C2)CC1,1,1
C1CCC(C2CCC(CCC(CCC3CCCC3)C3CC4CC5CC(C5)C4C3)CC2)CC1,0,0
C1CCC(CCC2CCCC(C3CCC4CCCCC4C3)C2)CC1,19,1
C1CCC(C2CC(CCCC3CCCC3)CC(C3CCCC3)C2)CC1,0,0
C1CCC(CCCCCC2CCCC2CCCCC2CC3CCCCC3C2)CC1,1,1
C1CCC(CCC2CC(CC3CCC3)CC(CCC3CCCCC3)C2CCC2CCCCC2)CC1,0,0
C1CCC(C2CCCC(CCCC3CCC(C4CCCC4)CC3)C2)CC1,2,1
C1CCC(CCC2CCC3C(C4CCCCC4)CCC(C4CCCCC4)C3C2)CC1,1,1
C1CC2CCCC2C1,927,1
C1CCC(CC2CC(CCCCCC3CCCC3)CC(C3CCCCC3)C2)CC1,0,0
C1CCC(C2CC(C3CCCCC3)C2)CC1,216,1
