unique_scaffold_recall,count_of_occurrence,unique_indicator
C1CCC(CCCCCC2CCCC2)CC1,29,1
C1CCC(CCCC2CCC(CCCCC3CC4CCC3CC4)CC2)CC1,0,0
C1CCC(CCC2CCCCC2)CC1,3479,1
C1CCC(CCCC2CCC(CCCCCC3CC4CCCCC4C3)CC2)CC1,4,1
C(CCCC1CCCCC1)CCCC1CCCCC1,755,1
C(CCC1CCCC1)CCC1CCCC1,0,0
C(CCCC1CCC2CCC2C1)CCC1CCCCC1,0,0
C(CCCC1CCCC1CCCCC1CC2CCCCC2C1)CCC1CCCCC1,0,0
C1CCC(CCCCCC2CCC(CCCC3CCCCC3)CC2)CC1,92,1
C1CCCCC1,1481,1
C1CCC(CC(CCCC2CCCC2)CC2CCCCC2)CC1,2,1
C1CCC(CCCCCC2CC3C(CCCC4CCCCC4)CCC23)CC1,0,0
C1CCC(CCCC2CCC(CCCCC3CCCC3)CC2)CC1,7,1
C(CCCC1CCCCC1)CCCC1CC2CCCCC2C1,24,1
C(CCCC1CCCCC1)CCCC1CCCC1CCCCCC1CCCCC1,0,0
C(CCCC1CCCCC1)CCCC1CCCC1,24,1
C1CCC(C2CCC(CCCC3CCC(CCCCC4CC5CCC4CC5)CC3)CC2)CC1,0,0
C(CCCC1CCC(CCCC2CCCCC2)CC1)CCC1CCCC1,3,1
C1CCC(CC2CCC(CCC(CCC3CCCC3)C3CC4CC5CC(C5)C4C3)CC2)CC1,0,0
C(CCCC1CCCCC1)CCCC1CCCC1CCCCC1CC2CCCCC2C1,0,0
C(CCCC1CCC(CCCC2CCCCC2)CC1)CCC1CCCCC1,63,1
C1CC2CCC1CC2,0,0
C(CCCCC1CCCCC1)CCCCC1CCCCC1,245,1
C1CCC(CCC2CCC(CCC3CCCCC3)C2)CC1,13,1
C1CCC(CCCCC(CCC2CCCC2)C2CC3CC4CC(C4)C3C2)CC1,0,0
C1CCC(CCCC2CCC2CC2CCCCC2)CC1,0,0
C(CCCC1CC2CCCCC2C1)CCC1CCCCC1,43,1
C1CCC(C2CC(CCCCCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,0,0
C1CCC1,2,1
C1CCC(CCCC2CCCCC2)CC1,2774,1
C1CCC(CCCC2CCC(CCCCCC3CC4CCC3C4)CC2)CC1,0,0
C(CCC1CC2CCC1CC2)CC1CCC(CCCC2CCC3CCCCC3C2)CC1,0,0
C(CCCC1CCCCCCC(CC2CCCCC2)CCC(CC2CCCCC2)C2CCCC(CCCCC1)C2)CCC1CCCCC1,0,0
C(CCCC1CCC2CCCCC2C1)CCC1CCCCC1,10,1
C1CCCC1,10,1
C1CCC(CCCC2CCC(CCCCC3CCC4CCCCC4C3)CC2)CC1,0,0
C1CCCC(CCCCCC2CCC(CCCC3CCCCC3)CC2)CCC1,0,0
C(CCCC1CC2CCCCC2C1)CCC1CCCC1,1,1
C1CCC(CCCC2CCC(CCCC3CCCCC3)CC2)CC1,233,1
C1CCC(CCC2CCC(CC3CC4CCCCC4C3)CC2)CC1,117,1
C1CCCC(CCCCCC2CCC(CCCC3CCCCC3)CC2)CC1,0,0
C1CCC(CCCCC2CC3CCC2C3)CC1,0,0
C(CCCC1CCCCC1)CCCC1CCC(CCCC2CCCCC2)CC1,27,1
C1CCC(CCCC2CCC(CCCCCC3CCCC3)CC2)CC1,5,1
C1CCC(CCC(C2CCCCC2)(C2CCCCC2)C2CCCCC2)CC1,0,0
C1CCC(CCCCC2CCC(CCCCC3CC4CCC3CC4)CC2)CC1,0,0
C(CCCC1CCCC1)CCCC1CCCC1,0,0
