unique_scaffold_recall,count_of_occurance,uniq_occurance
C(CCCCCCC1CCC2C1CCC1C3CCCCC3CCC21)CCCCCC1CCC(CCC2CCC(CCC3CCCC3)C2)C1,0,0
C1CCC2CC(CCCC3CCC4C3CCC3C5CCCCC5CCC43)CC2C1,0,0
C1CCC2C(C1)CCC1C3CCCC3CCC21,0,0
C1CCC(CCC2(CCCC3CC4CCCCC4C3)CCC3C4CCC5CCCCC5C4CCC32)C1,0,0
C1CCC(CCCC2CC3CCCCC3C2C2CCCCC2)CC1,0,0
C1CCC(C2CCC3CC4C(CCC5C6CCC(CCCC7CC8CCCCC8C7)C6CCC45)CC32)CC1,0,0
C1CCC2C(C1)CCC1CCCCC12,0,0
C1CCC(CCCC2CCC3CCC(C4CCCC5CCCC54)CC3C2)CC1,0,0
C1CCC(CC2CC3CCCCC3C3CCCCC23)CC1,56,1
C(CCCCCCCCCCC1CCC(CCC2CCCC2)C1)CCCCCCCCCCC1CCC2C1CCC1C3CCCCC3CCC21,0,0
C1CCC(CCC2CCC3C(CCC4CCCCC43CC3CCCCC3)C2)CC1,0,0
C1CCC2C(C1)CCC1C3CCC(CCCC45CC6CC(CC(C6)C4)C5)C3CCC21,0,0
C1CCC(CCCC2CCC3C2CCC2C4CCCCC4CCC32)CC1,0,0
C1CCC(CC23CCCC2CC2C4CCC5CCCCC5C4CCC23)C1,0,0
C1CCC(CCCC2CCC3C(CCC4CCCCC43CC3CCCCC3)C2)CC1,0,0
C(CCCCCCC1CCC2C1CCC1C3CCCCC3CCC21)CCCCCC1CCC(CCC2CCCC2)C1,0,0
C1CCC(CCCC2CCC3C2CCC2C4CCCCC4CCC32)C1,0,0
C1CCC(C2CCC3CC4C(CCC5C6CCC(CCCC7CCC8CCCCC8C7)C6CCC45)CC32)CC1,0,0
C1CCC(CCC2CCC3C2CCC(C2CCCCC2)C2C4CCCCC4CCC32)CC1,111,1
C1CCC(CCCC2CCC3C2CCC2C4CC5CCC(C6CCCCC6)C5CC4CCC32)CC1,0,0
C1CCC(CCC2CCC(C3CC3)CC2)CC1,0,0
C1CCC(C2CCC3CC4C(CCC5C6CCC(CCCC7CCCC8CCCCC87)C6CCC45)CC32)CC1,0,0
C1CCC(CCCC2CCC3CCCC3C2)CC1,0,0
C1CCC(CCCC2CCCC(C3CCC4CC(CCC5CCC6CCCCC6C5)CCC43)C2)CC1,0,0
C1CCC(CCCC23CCCC2CC2C4CCC5CCCCC5C4CCC23)C1,0,0
C1CCC2CC(CCCC3CCC4C3CCC3C5CCCCC5CCC43)CCC2C1,0,0
C1CCC2C(C1)CCC1C3CCCCC3CCC21,0,0
C1CCC(CCC2CCC3C(CCC4CCCCC43)C2)CC1,0,0
C1CCC(C2CCC(CCCC3CCC4C3CCC3C5CCCCC5CCC43)C2)CC1,0,0
C1CCC2C(C1)CCCC2CCCC1CCC2C1CCC1C3CCCCC3CCC21,0,0
C1CCC(CCCCC2CCC3C2CCC2C4CCCCC4CCC32)CC1,0,0
C1CCC(C2CC3CCCCC3C3CCC(CCC4CCCC4)CC23)CC1,0,0
C1CCC(CCCC2(CCC3CCCC3)CCC3C4CCC5CCCCC5C4CCC32)C1,0,0
C1CCC(CCC2(CCCC3CCC4CCCCC4C3)CCC3C4CCC5CCCCC5C4CCC32)C1,0,0
C1CCC(CCCC2(CCC3CCCC3)CCC3C4CCC5CCCCC5C4CCC32)CC1,0,0
C1CCC(CCCCC2C3CCCCC3CCC2C2CCCC3CCCC32)CC1,0,0
C(CC1CCC(C2CCCC2)CC1)CC1CCC2CCCC2C1,0,0
C1CCC(CCC2CCC3C2CCC2C4CCCCC4CCC32)C1,0,0
C1CCC(CCC2CCC(C3CCCC4C(C5CCCCC5)CCC34)C2)CC1,0,0
C1CCC(C2CCC3CC4C(CCCC5CC5)CCCC4CC32)CC1,0,0
